InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12/1/10 8:26,4.25,17850,United Kingdom
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12/1/10 8:34,1.69,13047,United Kingdom
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,12/1/10 8:34,2.1,13047,Italy
536369,21756,BATH BUILDING BLOCK WORD,3,12/1/10 8:35,5.95,13047,Iceland
536527,47421,ASSORTED COLOUR LIZARD SUCTION HOOK,24,12/1/10 13:04,0.42,12662,Germany
536527,20712,JUMBO BAG WOODLAND ANIMALS,10,12/1/10 13:04,1.95,12662,Germany
536532,21870,I CAN ONLY PLEASE ONE PERSON MUG,24,12/1/10 13:24,1.25,12433,Portugal
536532,22667,RECIPE BOX RETROSPOT ,12,12/1/10 13:24,2.95,12433,Norway
536532,21982,PACK OF 12 SUKI TISSUES ,48,12/1/10 13:24,0.29,12433,Norway
536532,21260,FIRST AID TIN,12,12/1/10 13:24,3.25,12433,Norway
536532,20685,DOORMAT RED RETROSPOT,2,12/1/10 13:24,7.95,12433,Lithuania
536534,22865,HAND WARMER OWL DESIGN,12,12/1/10 13:33,2.1,15350,United Kingdom
536540,22355,CHARLOTTE BAG SUKI DESIGN,50,12/1/10 14:05,0.85,14911,Australia
536803,22113,GREY HEART HOT WATER BOTTLE,6,12/2/10 16:33,3.75,14911,Austria
536852,22549,PICTURE DOMINOES,12,12/3/10 9:51,1.45,12686,France
536858,22555,HAND OPEN SHAPE BLUEICE,2,12/3/10 10:36,40,13520,Switzerland
536861,22077,6 RIBBONS RUSTIC CHARM,12,12/3/10 10:44,1.65,12427,Germany
536944,22384,LUNCH BAG PINK POLKADOT,100,12/3/10 12:20,1.45,12557,Spain
536971,22969,HOMEMADE JAM SCENTED CANDLES,12,12/3/10 13:40,1.45,12779,Poland
536972,22688,DOORMAT PEACE ON EARTH BLUE,2,12/3/10 13:42,7.95,16926,United Kingdom
536973,82551,LAUNDRY 15C METAL SIGN,6,12/3/10 13:43,1.45,17787,United Kingdom
536974,20749,ASSORTED COLOUR MINI CASES,2,12/3/10 13:59,7.95,12682,France
536975,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,6,12/3/10 14:04,2.95,14911,EIRE
536975,22158,3 HEARTS HANGING DECORATION RUSTIC,8,12/3/10 14:04,2.95,14911,EIRE
536990,22555,HAND OPEN SHAPE BLUEICE,1,12/3/10 15:14,28,12793,Portugal
537022,72803A,ROSE SCENT CANDLE JEWELLED DRAWER,4,12/3/10 15:45,4.25,12725,Italy
537022,22307,GOLD MUG BONE CHINA TREE OF LIFE,6,12/3/10 15:45,1.95,12725,Italy
537023,82494L,WOODEN FRAME ANTIQUE WHITE ,1,12/3/10 16:02,2.95,16725,United Kingdom
537023,85175,CACTI T-LIGHT CANDLES,32,12/3/10 16:02,0.42,16725,United Kingdom
537023,79321,CHILLI LIGHTS,6,12/3/10 16:02,4.95,16725,United Kingdom
